"CP","Năm","Kỳ","DebtEquity","CurrentRatio","QuickRatio","GrossMargin","NetMargin","CashFlow_to_Profit","CashFlow_to_Debt","SellingExpense_Ratio","debt_to_asset","EBIT_to_Interest","AssetTurnover","ROA","ROE"
"POT","2013","1","0.91845806973088","3.2886862118975","2.2602135061889","1.6497040277953","0.0019364878798972","13.092177382245","0.0093791069257177","-0.21332995423655","0.47874805512936","-0.13060254321359","0.069544099679278","0.00013467130614729","0.00025836125403946"
"POT","2013","2","1.0207793793403","2.7851701599385","1.9565333197153","1.8837413571055","0.016221320649581","2.9118208607826","0.058183174678751","-0.039519200720218","0.50514142700404","-1.646569339018","0.27840265286449","0.0045160587018088","0.0091259583005056"
"POT","2013","3","1.1822229309933","2.6695230834976","1.9307477158118","1.8341669060014","0.01311306707535","-2.8827955218048","-0.025635814922836","-0.075325498865145","0.54175167633088","-1.3104698852364","0.16668770656177","0.0021857870767807","0.0047698746812196"
"POT","2013","4","1.1443944933209","2.3766226407584","1.7470997563817","1.896591161427","0.019729951656474","-0.72597730471802","-0.017907314484972","-0.038272068063928","0.533667894077","-2.5070206393816","0.34848210264342","0.0068755350383009","0.014743859474767"
"POT","2014","1","1.2157196097524","2.1906766416403","1.5683339797509","1.8004418429672","0.010333525519082","9.2724814563866","0.038014894775703","-0.074007648765996","0.54867935654018","-0.42952030310505","0.12169665361411","0.0012575554757083","0.0027863903278785"
"POT","2014","2","1.2921672527281","2.3445119310411","1.6645127938997","1.8150347628844","0.02964245220403","-3.4803410420275","-0.063349591199339","-0.055296064726712","0.56373166102524","-2.6777319947524","0.17718828792122","0.0052522953558187","0.012039139416263"
"POT","2014","3","1.4483228382721","1.9211442956618","1.3030823132565","1.8618003720458","0.015457773730085","-15.388978104319","-0.15048319863344","-0.070149325147492","0.59155713275715","-1.4274395345494","0.22841309552216","0.0035307579475699","0.008644435319446"
"POT","2014","4","1.7177239862978","1.8162363448415","1.2734278663645","1.8504655543542","0.022863734975205","-8.2760249961774","-0.1264084393103","-0.057902399155078","0.63204504760536","-1.8914220132094","0.26512800055685","0.0060618163392379","0.016474343665679"
"POT","2015","1","2.0932771921246","1.5436437049634","1.0538874548124","1.8319596416937","0.018867427388241","-20.702783604261","-0.18579287984184","-0.074142876085958","0.67671827065935","-1.1389944054313","0.23255698633294","0.004387752053265","0.013572533351062"
"POT","2015","2","2.7300578003181","1.4646958030653","1.0032991006551","1.8657610221497","0.023395623010588","-7.8651377292592","-0.12950254779994","-0.068094048608778","0.73190763963102","-2.6910983631119","0.377842890271","0.0088398698180113","0.03297322536847"
"POT","2015","3","3.1546081758333","1.390145119161","0.97081923983585","1.8536771498303","0.020810578554164","-12.457214894359","-0.13405110518895","-0.078035821003786","0.75930341498464","-1.2404802326084","0.30079917725512","0.0062598049072958","0.026007036646973"
"POT","2015","4","3.6311198918498","1.3656619063111","0.98848750667396","1.8622870013645","0.0098592822357385","12.812038657168","0.086408676403138","-0.082304651113353","0.78406950729998","-1.0142504699099","0.41523249359149","0.004093894347768","0.01895931554908"
"POT","2016","1","3.2197111374625","1.4345545136651","1.0713698578185","1.8571503845048","0.020900504369325","0.57575217838578","0.0064904047128355","-0.066137135172527","0.76301695366727","-1.3059858470852","0.30617483461149","0.0063992084685746","0.027002811245789"
"POT","2016","2","2.9550970118331","1.5340897851496","1.0990837240711","1.85262123875","0.022691216963605","16.237486127176","0.21261787762519","-0.054264749446519","0.74716170121538","-1.4605661185586","0.29587201775141","0.0067136961482568","0.026553319574326"
"POT","2016","3","2.4493154807663","1.7228061622271","1.207823197754","1.8265191117495","0.017925023555321","24.017576810588","0.21426264790504","-0.077015965534949","0.71008740558059","-0.83402455843178","0.21902692738942","0.0039260628327049","0.01354222930731"
"POT","2016","4","2.4595068165547","1.699714590539","1.2227439718679","1.8224006178321","0.016089484357996","25.736940513398","0.22264532930028","-0.072559091294142","0.71094145696874","-1.0322228598592","0.2402948604799","0.0038662203989982","0.013375215824637"
"POT","2017","1","2.6386950572744","1.6638835658181","1.0327666316574","1.8109998104743","0.02525985621297","-18.888915471069","-0.17352800587486","-0.056366801746554","0.7251762007369","-1.6713526728912","0.16512776576552","0.0041711036200061","0.015177374125495"
"POT","2017","2","3.2574975268449","1.4843339009192","1.1026987808869","1.8866262738063","0.018010241853679","-2.3875987963287","-0.033387016661386","-0.048576279353789","0.76512023936721","-2.5296446162615","0.41506444095444","0.0074754109664515","0.031826543701816"
"POT","2017","3","5.2159761220567","1.2735272440469","1.0741227293773","1.8797375252228","0.02001589606002","-6.6155233008229","-0.050133032723317","-0.048494552300996","0.83912422114177","-2.0982978865834","0.25600199943449","0.0051241094118379","0.03185134175079"
"POT","2017","4","4.6717975124307","1.4824279732578","1.2561515619509","1.8568457803047","0.014774496598998","-6.1326939625124","-0.042311819458106","-0.06166167994751","0.82368905134425","-1.0342179598538","0.26730297573626","0.0039492669059173","0.022399442212907"
"POT","2018","1","5.7528931836587","1.2040992412784","0.96549337115625","1.8356635087221","0.021825833084235","-31.607853977846","-0.11893132293155","-0.035948615371785","0.85191532387631","-0.76934301302641","0.10644114953428","0.0023231667630292","0.015688096998562"
"POT","2018","2","4.9712316469522","1.2314264442832","0.91318598641678","1.8333365657998","0.023028461879685","12.477275790656","0.081153300884694","-0.041129776128577","0.83253036239008","-1.0863038597169","0.16319683857561","0.0037581721760236","0.022440916632168"
"POT","2018","3","5.125230392242","1.2220335802964","0.95469559354058","1.8812587457396","0.017271936801139","-1.1927882428462","-0.011036554077356","-0.046878832660392","0.83674083488083","-1.5548349052024","0.31355153287535","0.0054156422597233","0.033172056562767"
"POT","2018","4","6.1983335245498","1.1871595707825","0.88074919920378","1.9265349388554","0.020162626008987","-1.9328413858852","-0.020260937581398","0.00071155536040599","0.86107895715175","-1.2537734106977","0.2173357681889","0.0043820598123688","0.031543528053957"
